Year,Sex,Value
2000,,66
2001,,69
2002,,64
2003,,64
2004,,67
2005,,62
2006,,63
2007,,62
2008,,63
2009,,66
2010,,63
2011,,61
2012,,0
2013,,65
2014,,63
2015,,64
2016,,64
2017,,69
2000,Male,0
2001,Male,0
2002,Male,0
2003,Male,0
2004,Male,79
2005,Male,76
2006,Male,75
2007,Male,74
2008,Male,72
2009,Male,78
2010,Male,78
2011,Male,70
2012,Male,0
2013,Male,76
2014,Male,73
2015,Male,0
2016,Male,0
2017,Male,0
2000,Female,0
2001,Female,0
2002,Female,0
2003,Female,0
2004,Female,57
2005,Female,50
2006,Female,52
2007,Female,53
2008,Female,55
2009,Female,55
2010,Female,50
2011,Female,54
2012,Female,0
2013,Female,56
2014,Female,55
2015,Female,0
2016,Female,0
2017,Female,0
